Benchmark, Cache size, Block Size, Associativity, Cache Latency, Cache Energy, Data Hits, Data Misses, Writebacks, Instructions Hits, Instruction Misses
0,32768,32,16,1.561380,0.171257,42996325,185,0,134216641,1087
0,32768,32,32,1.565440,0.346658,53942859,12335,2091,133761605,456123
0,32768,32,32,1.565440,0.346658,10392,607,0,43261,775
0,32768,32,32,1.565440,0.346658,1040007,983,0,7696358,407
0,32768,32,32,1.565440,0.346658,42996325,185,0,134216641,1087
0,32768,32,64,1.677760,0.683806,53942992,12202,1977,133736310,481418
0,32768,32,64,1.677760,0.683806,10392,607,0,43261,775
0,32768,32,64,1.677760,0.683806,1040007,983,0,7696358,407
0,32768,32,64,1.677760,0.683806,42996325,185,0,134216641,1087
0,32768,64,1,1.268670,0.063432,52808832,1146362,248291,133754103,463625
0,32768,64,1,1.268670,0.063432,10667,332,17,43571,465
0,32768,64,1,1.268670,0.063432,1037255,3735,47,7696526,239
0,32768,64,1,1.268670,0.063432,42996397,113,0,132115088,2102640
0,32768,64,2,1.268900,0.062645,53927906,27288,12033,134025533,192195
0,32768,64,2,1.268900,0.062645,10681,318,9,43585,451
0,32768,64,2,1.268900,0.062645,1040487,503,13,7696532,233
0,32768,64,2,1.268900,0.062645,42996397,113,0,134138380,79348
0,32768,64,4,1.269070,0.062103,53936312,18882,5159,133996010,221718
0,32768,64,4,1.269070,0.062103,10681,318,1,43595,441
0,32768,64,4,1.269070,0.062103,1040484,506,14,7696535,230
0,32768,64,4,1.269070,0.062103,42996397,113,0,134187771,29957
0,32768,64,8,1.479440,0.091149,53943431,11763,4367,133968559,249169
0,32768,64,8,1.479440,0.091149,10681,318,0,43597,439
0,32768,64,8,1.479440,0.091149,1040484,506,14,7696535,230
0,32768,64,8,1.479440,0.091149,42996397,113,0,134217054,674
0,32768,64,16,1.561380,0.171257,53948478,6716,1393,133971360,246368
0,32768,64,16,1.561380,0.171257,10681,318,0,43597,439
0,32768,64,16,1.561380,0.171257,1040488,502,7,7696535,230
0,32768,64,16,1.561380,0.171257,42996397,113,0,134217115,613
0,32768,64,32,1.565440,0.346658,53948740,6454,1204,133973015,244713
0,32768,64,32,1.565440,0.346658,10681,318,0,43597,439
0,32768,64,32,1.565440,0.346658,1040489,501,2,7696535,230
0,32768,64,32,1.565440,0.346658,42996397,113,0,134217115,613
0,32768,128,1,1.268670,0.063432,52384311,1570883,508024,133950890,266838
0,32768,128,1,1.268670,0.063432,10801,198,23,43757,279
0,32768,128,1,1.268670,0.063432,1037472,3518,71,7696623,142
0,32768,128,1,1.268670,0.063432,42996441,69,0,131811100,2406628
0,32768,128,2,1.268900,0.062645,53933968,21226,10196,134110545,107183
0,32768,128,2,1.268900,0.062645,10824,175,8,43765,271
0,32768,128,2,1.268900,0.062645,1040735,255,7,7696632,133
0,32768,128,2,1.268900,0.062645,42996441,69,0,134153633,64095
0,32768,128,4,1.269070,0.062103,53941076,14118,4012,134091303,126425
0,32768,128,4,1.269070,0.062103,10824,175,1,43778,258
0,32768,128,4,1.269070,0.062103,1040734,256,7,7696633,132
0,32768,128,4,1.269070,0.062103,42996441,69,0,134162250,55478
0,32768,128,8,1.479440,0.091149,53947251,7943,3453,134073639,144089
0,32768,128,8,1.479440,0.091149,10824,175,0,43779,257
0,32768,128,8,1.479440,0.091149,1040734,256,7,7696633,132
0,32768,128,8,1.479440,0.091149,42996441,69,0,134213783,3945
0,32768,128,16,1.561380,0.171257,53951533,3661,897,134078470,139258
0,32768,128,16,1.561380,0.171257,10824,175,0,43779,257
0,32768,128,16,1.561380,0.171257,1040736,254,4,7696633,132
0,32768,128,16,1.561380,0.171257,42996441,69,0,134217377,351
0,32768,256,1,1.268670,0.063432,51243800,2711394,865516,134043268,174460
0,32768,256,1,1.268670,0.063432,10865,134,28,43858,178
0,32768,256,1,1.268670,0.063432,1034331,6659,132,7696670,95
0,32768,256,1,1.268670,0.063432,42996468,42,0,132432020,1785708
0,32768,256,2,1.268900,0.062645,53888760,66434,7084,134156773,60955
0,32768,256,2,1.268900,0.062645,10896,103,8,43867,169
0,32768,256,2,1.268900,0.062645,1040858,132,4,7696674,91
0,32768,256,2,1.268900,0.062645,42996468,42,0,134158271,59457
0,32768,256,4,1.269070,0.062103,53942120,13074,3740,134143969,73759
0,32768,256,4,1.269070,0.062103,10896,103,2,43879,157
0,32768,256,4,1.269070,0.062103,1040857,133,5,7696681,84
0,32768,256,4,1.269070,0.062103,42996468,42,0,134149565,68163
0,32768,256,8,1.479440,0.091149,53948976,6218,3377,134130135,87593
0,32768,256,8,1.479440,0.091149,10896,103,1,43880,156
0,32768,256,8,1.479440,0.091149,1040857,133,5,7696683,82
0,32768,256,8,1.479440,0.091149,42996468,42,0,134175543,42185
0,32768,512,1,1.268670,0.063432,50217235,3737959,1333650,134092281,125447
0,32768,512,1,1.268670,0.063432,10898,101,31,43919,117
0,32768,512,1,1.268670,0.063432,1027864,13126,260,7696700,65
0,32768,512,1,1.268670,0.063432,42996483,27,0,132721520,1496208
0,32768,512,2,1.268900,0.062645,53889637,65557,7056,134180039,37689
0,32768,512,2,1.268900,0.062645,10933,66,10,43930,106
0,32768,512,2,1.268900,0.062645,1040919,71,4,7696701,64
0,32768,512,2,1.268900,0.062645,42996483,27,0,134158347,59381
0,32768,512,4,1.269070,0.062103,53941296,13898,5305,134172946,44782
0,32768,512,4,1.269070,0.062103,10935,64,4,43938,98
0,32768,512,4,1.269070,0.062103,1040918,72,5,7696712,53
0,32768,512,4,1.269070,0.062103,42996483,27,0,134137719,80009
0,32768,1024,1,1.268670,0.063432,49166288,4788906,2007564,134127468,90260
0,32768,1024,1,1.268670,0.063432,10884,115,57,43941,95
0,32768,1024,1,1.268670,0.063432,1014839,26151,517,7696723,42
0,32768,1024,1,1.268670,0.063432,42996494,16,0,133307588,910140
0,32768,1024,2,1.268900,0.062645,53891079,64115,7247,134195246,22482
0,32768,1024,2,1.268900,0.062645,10943,56,16,43961,75
0,32768,1024,2,1.268900,0.062645,1040950,40,5,7696722,43
0,32768,1024,2,1.268900,0.062645,42996494,16,0,134160421,57307
